path,class,source,split
data/resisc45/commercial/resisc45_12909.jpg,commercial,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_16564.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_08079.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_06019.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_13819.jpg,industrial,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_12681.jpg,industrial,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_14848.jpg,industrial,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_01841.jpg,commercial,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_15841.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_06323.jpg,commercial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_08624.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_10994.jpg,commercial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_07238.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_09771.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_11203.jpg,commercial,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_01408.jpg,commercial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_01725.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_09797.jpg,industrial,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_10565.jpg,industrial,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_09152.jpg,commercial,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_15141.jpg,commercial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_13283.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_06606.jpg,commercial,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_08051.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_06930.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_12626.jpg,industrial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_18890.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_11269.jpg,commercial,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_11552.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_02628.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_12465.jpg,industrial,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_04226.jpg,commercial,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_00647.jpg,industrial,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_04072.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_08667.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_08029.jpg,industrial,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_18631.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_14380.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_08708.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_14125.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_02938.jpg,industrial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_09995.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_07623.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_00481.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_07737.jpg,commercial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_13795.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_15919.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_16469.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_02850.jpg,industrial,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_17133.jpg,commercial,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_02996.jpg,industrial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_06339.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_18241.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_03693.jpg,commercial,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_17581.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_02907.jpg,industrial,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_12493.jpg,commercial,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_16643.jpg,industrial,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_15125.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_02028.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_12827.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_16942.jpg,commercial,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_18377.jpg,commercial,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_06048.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_06215.jpg,commercial,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_13443.jpg,industrial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_17837.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_04647.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_18568.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_03671.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_02179.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_17815.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_03233.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_07112.jpg,commercial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_10095.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_09907.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_10751.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_03866.jpg,industrial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_13750.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_01440.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_15383.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_07520.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_09710.jpg,commercial,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_11850.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_02195.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_14739.jpg,commercial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_15674.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_07799.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_08329.jpg,industrial,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_05579.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_00317.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_09420.jpg,industrial,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_11792.jpg,commercial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_00861.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_02051.jpg,industrial,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_08018.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_14310.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_02052.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_10250.jpg,industrial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_00780.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_12894.jpg,commercial,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_03425.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_11596.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_17447.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_12300.jpg,industrial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_06905.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_16659.jpg,industrial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_14164.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_08323.jpg,commercial,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_02446.jpg,industrial,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_15112.jpg,industrial,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_17826.jpg,commercial,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_09935.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_18087.jpg,commercial,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_07679.jpg,commercial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_03804.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_04907.jpg,commercial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_07586.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_00733.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_09804.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_03607.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_17897.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_00905.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_13632.jpg,commercial,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_18558.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_02344.jpg,commercial,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_04243.jpg,industrial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_17621.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_05331.jpg,industrial,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_17395.jpg,commercial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_06880.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_04231.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_03495.jpg,commercial,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_08042.jpg,industrial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_10369.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_08295.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_08410.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_18334.jpg,industrial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_13767.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_06052.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_07914.jpg,industrial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_09664.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_13723.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_04247.jpg,industrial,NWPU-RESISC45,train
data/resisc45/industrial/resisc45_14684.jpg,industrial,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_15289.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_16540.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_18309.jpg,commercial,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_08552.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_06245.jpg,commercial,NWPU-RESISC45,train
data/resisc45/dense_residential/resisc45_09615.jpg,dense_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_13427.jpg,commercial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_10700.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/commercial/resisc45_15929.jpg,commercial,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_08576.jpg,sparse_residential,NWPU-RESISC45,train
data/resisc45/sparse_residential/resisc45_14334.jpg,sparse_residential,NWPU-RESISC45,train
